doc_id,source_page,gov_id,fiscal_year,doc_type,department_printed,line_description,line_kind,amount,amount_kind,units,division,fund,org,sbcl,account,pay_range,flags
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bethune Academy,Enrollment,enrollment,,adopted,594.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bethune Academy,Enrollment,enrollment,,proposed,599.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bradley Technology And Trade,School Budget,school_summary,11879619.0,adopted,92.5,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bradley Technology And Trade,School Budget,school_summary,10762227.0,proposed,83.15,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bradley Technology And Trade,Enrollment,enrollment,,adopted,953.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bradley Technology And Trade,Enrollment,enrollment,,proposed,876.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Brown Street School,School Budget,school_summary,3945072.0,adopted,33.76,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Brown Street School,School Budget,school_summary,4234723.0,proposed,35.1,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Brown Street School,Enrollment,enrollment,,adopted,239.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Brown Street School,Enrollment,enrollment,,proposed,242.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Browning School,School Budget,school_summary,4735393.0,adopted,42.35,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Browning School,School Budget,school_summary,5106290.0,proposed,45.25,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Browning School,Enrollment,enrollment,,adopted,330.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Browning School,Enrollment,enrollment,,proposed,331.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bruce School,School Budget,school_summary,3988153.0,adopted,35.4,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bruce School,School Budget,school_summary,4253155.0,proposed,37.24,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bruce School,Enrollment,enrollment,,adopted,229.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bruce School,Enrollment,enrollment,,proposed,216.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bryant School,School Budget,school_summary,4263116.0,adopted,38.05,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bryant School,School Budget,school_summary,5074359.0,proposed,45.55,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Bryant School,Enrollment,enrollment,,adopted,230.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2027,proposed,Bryant School,Enrollment,enrollment,,proposed,246.0,,,,,,,
mps-2027-proposed-school-lineitem,1,mps,2026,proposed,Burbank School,School Budget,school_summary,7353426.0,adopted,64.35,,,,,,,
