doc_id,gov_id,fiscal_year,doc_type,department_printed,division,fund,org,sbcl,account,line_description,line_kind,pay_range,amount,amount_kind,units,flags,source_page
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Business Services Specialist,position,2FN,73077.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Business Services Specialist,position,2FN,73077.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Office Assistant III,position,6GN,46719.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Office Assistant III,position,6GN,46719.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Administrative Division,,,,,Office Assistant II (D),position,6DN,42051.0,budget,1.0,D,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Administrative Division,,,,,Office Assistant II (D),position,6DN,46336.0,adopted,1.0,D,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Docket Unit,,,,,Docketing Specialist,position,5KN,66166.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Docket Unit,,,,,Docketing Specialist,position,5KN,66166.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Docket Unit,,,,,Docketing Coordinator,position,2JN,95390.0,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Docket Unit,,,,,Docketing Coordinator,position,2JN,96344.0,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,Paralegal,position,2FN,,budget,1.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,Paralegal,position,2FN,,adopted,1.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,Total Before Adjustments,subtotal,,6468382.0,budget,64.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,Total Before Adjustments,subtotal,,6286485.0,adopted,63.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,Personnel Cost Adjustment,subtotal,,-190271.0,budget,,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,Personnel Cost Adjustment,subtotal,,-131238.0,adopted,,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,Gross Salaries & Wages Total,subtotal,,6278111.0,budget,64.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,Gross Salaries & Wages Total,subtotal,,6155247.0,adopted,63.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,Reimbursable Services Deduction,subtotal,,-250000.0,budget,,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,Reimbursable Services Deduction,subtotal,,-25000.0,adopted,,,47
city-2026-adopted-detailed,city,2024,adopted,City Attorney,Auxiliary Personnel,0001,1490,R999,006000,NET SALARIES & WAGES TOTAL*,total,,2225681.0,actual,,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,0001,1490,R999,006000,NET SALARIES & WAGES TOTAL*,total,,6028111.0,budget,64.0,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,0001,1490,R999,006000,NET SALARIES & WAGES TOTAL*,total,,6130247.0,adopted,63.0,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,O&M FTE'S,fte,,,budget,61.5,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,O&M FTE'S,fte,,,adopted,62.8,,47
city-2026-adopted-detailed,city,2025,adopted,City Attorney,Auxiliary Personnel,,,,,NON-O&M FTE'S,fte,,,budget,2.5,,47
city-2026-adopted-detailed,city,2026,adopted,City Attorney,Auxiliary Personnel,,,,,NON-O&M FTE'S,fte,,,adopted,0.2,,47
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,006100,ESTIMATED EMPLOYEE FRINGE BENEFITS,total,,1001556.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,006100,ESTIMATED EMPLOYEE FRINGE BENEFITS,total,,2712650.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,006100,ESTIMATED EMPLOYEE FRINGE BENEFITS,total,,2758611.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,630100,General Office Expense,expenditure,,26971.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,630100,General Office Expense,expenditure,,22000.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,630100,General Office Expense,expenditure,,27000.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,633500,Non-Vehicle Equipment Rental,expenditure,,19301.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,633500,Non-Vehicle Equipment Rental,expenditure,,17500.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,633500,Non-Vehicle Equipment Rental,expenditure,,19500.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634000,Professional Services,expenditure,,257439.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634000,Professional Services,expenditure,,223000.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634000,Professional Services,expenditure,,260000.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634500,Information Technology Services,expenditure,,19862.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634500,Information Technology Services,expenditure,,55200.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,634500,Information Technology Services,expenditure,,45000.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,635000,Property Services,expenditure,,1500.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,635000,Property Services,expenditure,,1500.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,635000,Property Services,expenditure,,1500.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,636500,Other Operating Services,expenditure,,60977.0,actual,,,48
city-2026-adopted-detailed,city,2025,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,636500,Other Operating Services,expenditure,,58000.0,budget,,,48
city-2026-adopted-detailed,city,2026,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,636500,Other Operating Services,expenditure,,61000.0,adopted,,,48
city-2026-adopted-detailed,city,2024,adopted,City Attorney,City Attorney 25 -,0001,1490,R999,637501,Reimburse Other Departments,expenditure,,52427.0,actual,,,48
